,number_of_labels,mean_label_width,mean_label_height,label_spread,areas,handwritten_flag
B100716687,0.3333333333333333,0.38325991189427316,0.24237427864798022,0.0,0.10102502203923774,0.0
B100716714,0.3333333333333333,0.37797356828193834,0.25309150865622426,0.0,0.10403705119738627,0.0
B100716769,0.3333333333333333,0.39647577092511016,0.2588623248145095,0.0,0.11161807501872151,0.0
B100723465,0.3333333333333333,0.6484581497797357,0.4402308326463314,0.0,0.3104641352877424,0.0
B100724445,0.6666666666666666,0.5916299559471366,0.3862324814509481,0.2863555515288479,0.5051116812699656,0.0
B100739080,0.3333333333333333,0.3585903083700441,0.22588623248145095,0.0,0.08809217614959508,0.0
B100739103,0.0,0.0,0.0,0.0,0.0,0.0
B100739230,0.3333333333333333,0.36916299559471366,0.2225886232481451,0.0,0.08936555433027575,0.0
B100739233,0.3333333333333333,0.3568281938325991,0.21269579554822754,0.0,0.08254050006161508,0.0
B100739256,0.3333333333333333,0.5066079295154186,0.15169002473206925,0.0,0.08357531731762728,0.0
B100739261,0.0,0.0,0.0,0.0,0.0,0.0
B100739262,0.3333333333333333,0.360352422907489,0.2654575432811212,0.0,0.10403310151320301,0.0
B100739622,0.3333333333333333,0.3682819383259912,0.2159934047815334,0.0,0.0865107226026207,0.0
B100739641,0.3333333333333333,0.4995594713656388,0.34212695795548226,0.0,0.18587608734805566,0.0
B100739705,0.3333333333333333,0.38854625550660793,0.24402308326463315,0.0,0.10311519490901508,0.0
